pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
8N	K	chr5	1	50000	0.458695652173913	73	2954	6440	860
8N	Lesina	chr5	1	50000	0.7164305949008498	73	5058	7060	240
K	Lesina	chr5	1	50000	0.3993865030674847	73	2604	6520	780
K	Lesina	chr5	50001	100000	0.41	174	6642	16200	1200
8N	Lesina	chr5	50001	100000	0.6101591187270502	174	9970	16340	1060
8N	K	chr5	50001	100000	0.4599493029150824	174	7258	15780	1620
8N	K	chr5	100001	150000	0.4526744186046512	189	7786	17200	1700
8N	Lesina	chr5	100001	150000	0.5486577181208053	189	9810	17880	1020
K	Lesina	chr5	100001	150000	0.3857974388824214	189	6628	17180	1720
8N	K	chr5	150001	200000	0.4285359801488834	90	3454	8060	940
8N	Lesina	chr5	150001	200000	0.6611374407582938	90	5580	8440	560
K	Lesina	chr5	150001	200000	0.4585956416464891	90	3788	8260	740
8N	K	chr5	200001	250000	0.2955403087478559	132	3446	11660	1540
8N	Lesina	chr5	200001	250000	0.7523274478330658	132	9374	12460	740
K	Lesina	chr5	200001	250000	0.5763333333333334	132	6916	12000	1200
K	Lesina	chr5	250001	300000	0.4762326169405815	174	7534	15820	1580
8N	Lesina	chr5	250001	300000	0.6837740384615385	174	11378	16640	760
8N	K	chr5	250001	300000	0.3238156209987196	174	5058	15620	1780
K	Lesina	chr5	300001	350000	0.4414881623449831	195	7832	17740	1760
8N	Lesina	chr5	300001	350000	0.6481681034482759	195	12030	18560	940
8N	K	chr5	300001	350000	0.3308755760368663	195	5744	17360	2140
8N	Lesina	chr5	350001	400000	0.6827213822894168	194	12644	18520	880
8N	K	chr5	350001	400000	0.3893956670467502	194	6830	17540	1860
K	Lesina	chr5	350001	400000	0.4108379888268156	194	7354	17900	1500
K	Lesina	chr5	400001	450000	0.4364768683274021	124	4906	11240	1160
8N	Lesina	chr5	400001	450000	0.6324958123953098	124	7552	11940	460
8N	K	chr5	400001	450000	0.361081081081081	124	4008	11100	1300
8N	Lesina	chr5	450001	500000	0.4515094339622642	112	4786	10600	600
8N	K	chr5	450001	500000	0.2822	112	2822	10000	1200
K	Lesina	chr5	450001	500000	0.3694117647058823	112	3768	10200	1000
8N	K	chr5	500001	550000	0.3195348837209302	192	5496	17200	2000
8N	Lesina	chr5	500001	550000	0.5800448430493274	192	10348	17840	1360
K	Lesina	chr5	500001	550000	0.4486175115207373	192	7788	17360	1840
8N	K	chr5	550001	600000	0.3344990548204158	236	7078	21160	2440
8N	Lesina	chr5	550001	600000	0.6786034019695614	236	15160	22340	1260
K	Lesina	chr5	550001	600000	0.4481961147086031	236	9690	21620	1980
8N	K	chr5	600001	650000	0.3439605587510271	273	8372	24340	2960
8N	Lesina	chr5	600001	650000	0.6124807395993837	273	15900	25960	1340
K	Lesina	chr5	600001	650000	0.4145662847790507	273	10132	24440	2860
8N	Lesina	chr5	650001	700000	0.59	259	14514	24600	1300
K	Lesina	chr5	650001	700000	0.4189234650967199	259	9962	23780	2120
8N	K	chr5	650001	700000	0.3306034482758621	259	7670	23200	2700
8N	K	chr5	700001	750000	0.3624267782426778	269	8662	23900	3000
8N	Lesina	chr5	700001	750000	0.5904238618524332	269	15044	25480	1420
K	Lesina	chr5	700001	750000	0.3564620355411955	269	8826	24760	2140
8N	K	chr5	750001	800000	0.4338490099009901	356	14022	32320	3280
8N	Lesina	chr5	750001	800000	0.5176918570591681	356	17674	34140	1460
K	Lesina	chr5	750001	800000	0.2390634627233518	356	7760	32460	3140
K	Lesina	chr5	800001	850000	0.0988110964332893	331	2992	30280	2820
8N	K	chr5	800001	850000	0.4457468184862692	331	13310	29860	3240
8N	Lesina	chr5	800001	850000	0.4449367088607595	331	14060	31600	1500
8N	K	chr5	850001	900000	0.5018238993710692	350	15958	31800	3200
8N	Lesina	chr5	850001	900000	0.5153245192307693	350	17150	33280	1720
K	Lesina	chr5	850001	900000	0.117997542997543	350	3842	32560	2440
K	Lesina	chr5	900001	950000	0.1493487698986975	299	4128	27640	2260
8N	Lesina	chr5	900001	950000	0.471660777385159	299	13348	28300	1600
8N	K	chr5	900001	950000	0.4342335766423357	299	11898	27400	2500
8N	K	chr5	950001	1000000	0.3902582159624413	380	13300	34080	3920
K	Lesina	chr5	950001	1000000	0.1468405797101449	380	5066	34500	3500
8N	Lesina	chr5	950001	1000000	0.4254012174875484	380	15374	36140	1860
8N	K	chr5	1000001	1050000	0.4380165289256198	188	7420	16940	1860
8N	Lesina	chr5	1000001	1050000	0.493771234428086	188	8720	17660	1140
K	Lesina	chr5	1000001	1050000	0.1723744292237443	188	3020	17520	1280
8N	Lesina	chr5	1050001	1100000	0.4345173745173745	272	11254	25900	1300
K	Lesina	chr5	1050001	1100000	0.1594272076372315	272	4008	25140	2060
8N	K	chr5	1050001	1100000	0.3952922077922078	272	9740	24640	2560
8N	K	chr5	1100001	1150000	0.3540328895849647	283	9042	25540	2760
