pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
8N	K	chr5	1	10000	0.452	6	226	500	100
8N	Lesina	chr5	1	10000	0.6166666666666667	6	370	600	0
K	Lesina	chr5	1	10000	0.42	6	210	500	100
8N	K	chr5	10001	20000	0.4411764705882353	4	150	340	60
8N	Lesina	chr5	10001	20000	0.5421052631578948	4	206	380	20
K	Lesina	chr5	10001	20000	0.4444444444444444	4	160	360	40
8N	K	chr5	20001	30000	0.4841726618705036	31	1346	2780	320
8N	Lesina	chr5	20001	30000	0.7649006622516556	31	2310	3020	80
K	Lesina	chr5	20001	30000	0.4100719424460431	31	1140	2780	320
8N	K	chr5	30001	40000	0.4833333333333333	16	696	1440	160
8N	Lesina	chr5	30001	40000	0.8131578947368421	16	1236	1520	80
K	Lesina	chr5	30001	40000	0.4391891891891892	16	650	1480	120
K	Lesina	chr5	40001	50000	0.3171428571428571	16	444	1400	200
8N	K	chr5	40001	50000	0.3884057971014493	16	536	1380	220
8N	Lesina	chr5	40001	50000	0.6077922077922078	16	936	1540	60
8N	K	chr5	50001	60000	0.4167224080267558	66	2492	5980	620
8N	Lesina	chr5	50001	60000	0.5864077669902913	66	3624	6180	420
K	Lesina	chr5	50001	60000	0.3738709677419355	66	2318	6200	400
8N	K	chr5	60001	70000	0.4755395683453237	30	1322	2780	220
8N	Lesina	chr5	60001	70000	0.5675862068965517	30	1646	2900	100
K	Lesina	chr5	60001	70000	0.3878571428571428	30	1086	2800	200
K	Lesina	chr5	70001	80000	0.42	26	1008	2400	200
8N	K	chr5	70001	80000	0.4833333333333333	26	1160	2400	200
8N	Lesina	chr5	70001	80000	0.6286885245901639	26	1534	2440	160
K	Lesina	chr5	80001	90000	0.4720496894409938	35	1520	3220	280
8N	Lesina	chr5	80001	90000	0.6754601226993865	35	2202	3260	240
8N	K	chr5	80001	90000	0.4867924528301887	35	1548	3180	320
8N	K	chr5	90001	100000	0.5111111111111111	17	736	1440	260
8N	Lesina	chr5	90001	100000	0.617948717948718	17	964	1560	140
K	Lesina	chr5	90001	100000	0.4493670886075949	17	710	1580	120
8N	K	chr5	100001	110000	0.5165354330708661	28	1312	2540	260
8N	Lesina	chr5	100001	110000	0.5455882352941176	28	1484	2720	80
K	Lesina	chr5	100001	110000	0.3434108527131783	28	886	2580	220
8N	K	chr5	110001	120000	0.4433333333333333	26	1064	2400	200
8N	Lesina	chr5	110001	120000	0.5122950819672131	26	1250	2440	160
K	Lesina	chr5	110001	120000	0.3830508474576271	26	904	2360	240
8N	Lesina	chr5	120001	130000	0.5063492063492063	53	2552	5040	260
