pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
8N	K	chr5	1	10000	0.3971428571428571	8	278	700	100
8N	Lesina	chr5	1	10000	0.6	8	456	760	40
K	Lesina	chr5	1	10000	0.4085714285714286	8	286	700	100
8N	K	chr5	10001	20000	0.4137931034482758	7	240	580	120
8N	Lesina	chr5	10001	20000	0.58125	7	372	640	60
K	Lesina	chr5	10001	20000	0.421875	7	270	640	60
8N	K	chr5	20001	30000	0.4268817204301075	41	1588	3720	380
8N	Lesina	chr5	20001	30000	0.6761194029850747	41	2718	4020	80
K	Lesina	chr5	20001	30000	0.3704301075268817	41	1378	3720	380
8N	K	chr5	30001	40000	0.4556818181818182	20	802	1760	240
8N	Lesina	chr5	30001	40000	0.751578947368421	20	1428	1900	100
K	Lesina	chr5	30001	40000	0.4164835164835165	20	758	1820	180
K	Lesina	chr5	40001	50000	0.3221153846153846	23	670	2080	220
8N	Lesina	chr5	40001	50000	0.5825688073394495	23	1270	2180	120
8N	K	chr5	40001	50000	0.3846153846153846	23	800	2080	220
8N	K	chr5	50001	60000	0.4053299492385787	86	3194	7880	720
8N	Lesina	chr5	50001	60000	0.5819512195121951	86	4772	8200	400
K	Lesina	chr5	50001	60000	0.3689393939393939	86	2922	7920	680
8N	K	chr5	60001	70000	0.4668831168831169	33	1438	3080	220
8N	Lesina	chr5	60001	70000	0.5574074074074075	33	1806	3240	60
K	Lesina	chr5	60001	70000	0.3851612903225806	33	1194	3100	200
8N	K	chr5	70001	80000	0.4850746268656716	29	1300	2680	220
8N	Lesina	chr5	70001	80000	0.6246376811594203	29	1724	2760	140
K	Lesina	chr5	70001	80000	0.4248175182481752	29	1164	2740	160
8N	K	chr5	80001	90000	0.4605263157894737	41	1750	3800	300
8N	Lesina	chr5	80001	90000	0.6401015228426395	41	2522	3940	160
K	Lesina	chr5	80001	90000	0.4572916666666666	41	1756	3840	260
K	Lesina	chr5	90001	100000	0.417037037037037	29	1126	2700	200
8N	Lesina	chr5	90001	100000	0.6104477611940299	29	1636	2680	220
8N	K	chr5	90001	100000	0.5333333333333333	29	1344	2520	380
8N	K	chr5	100001	110000	0.5012987012987012	33	1544	3080	220
8N	Lesina	chr5	100001	110000	0.5246913580246914	33	1700	3240	60
K	Lesina	chr5	100001	110000	0.3412903225806452	33	1058	3100	200
8N	K	chr5	110001	120000	0.419753086419753	35	1360	3240	260
8N	Lesina	chr5	110001	120000	0.5012121212121212	35	1654	3300	200
K	Lesina	chr5	110001	120000	0.3713414634146341	35	1218	3280	220
8N	K	chr5	120001	130000	0.4255972696245734	64	2494	5860	540
8N	Lesina	chr5	120001	130000	0.4885620915032679	64	2990	6120	280
K	Lesina	chr5	120001	130000	0.3590443686006826	64	2104	5860	540
8N	K	chr5	130001	140000	0.4224199288256228	63	2374	5620	680
8N	Lesina	chr5	130001	140000	0.5366336633663367	63	3252	6060	240
K	Lesina	chr5	130001	140000	0.3802768166089965	63	2198	5780	520
K	Lesina	chr5	140001	150000	0.4233918128654971	37	1448	3420	280
8N	Lesina	chr5	140001	150000	0.6188571428571429	37	2166	3500	200
8N	K	chr5	140001	150000	0.4433526011560693	37	1534	3460	240
8N	K	chr5	150001	160000	0.450735294117647	31	1226	2720	380
8N	Lesina	chr5	150001	160000	0.5683098591549296	31	1614	2840	260
K	Lesina	chr5	150001	160000	0.4068027210884353	31	1196	2940	160
8N	K	chr5	160001	170000	0.4373333333333333	33	1312	3000	300
8N	Lesina	chr5	160001	170000	0.4826923076923077	33	1506	3120	180
K	Lesina	chr5	160001	170000	0.3382165605095541	33	1062	3140	160
8N	K	chr5	170001	180000	0.4570175438596491	26	1042	2280	320
8N	Lesina	chr5	170001	180000	0.6403225806451613	26	1588	2480	120
K	Lesina	chr5	170001	180000	0.4491379310344827	26	1042	2320	280
8N	K	chr5	180001	190000	0.3080645161290322	14	382	1240	160
8N	Lesina	chr5	180001	190000	0.8478260869565217	14	1170	1380	20
K	Lesina	chr5	180001	190000	0.6079365079365079	14	766	1260	140
8N	Lesina	chr5	190001	200000	0.7573426573426574	30	2166	2860	140
K	Lesina	chr5	190001	200000	0.4970149253731343	30	1332	2680	320
8N	K	chr5	190001	200000	0.3351145038167939	30	878	2620	380
8N	K	chr5	200001	210000	0.2457516339869281	35	752	3060	440
8N	Lesina	chr5	200001	210000	0.7763636363636364	35	2562	3300	200
K	Lesina	chr5	200001	210000	0.610062893081761	35	1940	3180	320
8N	K	chr5	210001	220000	0.2486486486486486	33	736	2960	340
8N	Lesina	chr5	210001	220000	0.7119496855345911	33	2264	3180	120
K	Lesina	chr5	210001	220000	0.5743421052631579	33	1746	3040	260
8N	K	chr5	220001	230000	0.3312217194570135	49	1464	4420	480
8N	Lesina	chr5	220001	230000	0.53	49	2438	4600	300
K	Lesina	chr5	220001	230000	0.4151785714285714	49	1860	4480	420
8N	K	chr5	230001	240000	0.2852631578947368	22	542	1900	300
8N	Lesina	chr5	230001	240000	0.772	22	1544	2000	200
K	Lesina	chr5	230001	240000	0.5922330097087378	22	1220	2060	140
K	Lesina	chr5	240001	250000	0.6605504587155964	47	2880	4360	340
8N	K	chr5	240001	250000	0.2755868544600939	47	1174	4260	440
8N	Lesina	chr5	240001	250000	0.8486607142857143	47	3802	4480	220
8N	K	chr5	250001	260000	0.2826086956521739	41	1040	3680	420
8N	Lesina	chr5	250001	260000	0.7121827411167513	41	2806	3940	160
K	Lesina	chr5	250001	260000	0.5236559139784946	41	1948	3720	380
8N	K	chr5	260001	270000	0.2715277777777777	32	782	2880	320
8N	Lesina	chr5	260001	270000	0.532051282051282	32	1660	3120	80
K	Lesina	chr5	260001	270000	0.4569444444444444	32	1316	2880	320
8N	K	chr5	270001	280000	0.2816326530612245	32	828	2940	260
