pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
K	Lesina	chr5	1	50000	0.3752232142857143	99	3362	8960	940
8N	Lesina	chr5	1	50000	0.6572631578947369	99	6244	9500	400
8N	K	chr5	1	50000	0.4194570135746606	99	3708	8840	1060
K	Lesina	chr5	50001	100000	0.4020689655172413	218	8162	20300	1500
8N	Lesina	chr5	50001	100000	0.5984630163304515	218	12460	20820	980
8N	K	chr5	50001	100000	0.4522044088176353	218	9026	19960	1840
8N	K	chr5	100001	150000	0.4377234242709313	232	9306	21260	1940
K	Lesina	chr5	100001	150000	0.3743470149253731	232	8026	21440	1760
8N	Lesina	chr5	100001	150000	0.5293429342934294	232	11762	22220	980
8N	Lesina	chr5	150001	200000	0.634384858044164	134	8044	12680	720
8N	K	chr5	150001	200000	0.4080944350758853	134	4840	11860	1540
K	Lesina	chr5	150001	200000	0.4374392220421393	134	5398	12340	1060
8N	K	chr5	200001	250000	0.2812048192771084	186	4668	16600	2000
8N	Lesina	chr5	200001	250000	0.7181093394077449	186	12610	17560	1040
K	Lesina	chr5	200001	250000	0.5634345794392523	186	9646	17120	1480
8N	K	chr5	250001	300000	0.3004721435316336	235	6364	21180	2320
8N	Lesina	chr5	250001	300000	0.6492049469964665	235	14698	22640	860
K	Lesina	chr5	250001	300000	0.4681818181818182	235	10094	21560	1940
8N	Lesina	chr5	300001	350000	0.6599669148056245	250	15958	24180	820
K	Lesina	chr5	300001	350000	0.4452961672473867	250	10224	22960	2040
8N	K	chr5	300001	350000	0.3330396475770925	250	7560	22700	2300
8N	Lesina	chr5	350001	400000	0.6652689873417722	262	16818	25280	920
8N	K	chr5	350001	400000	0.3772046589018303	262	9068	24040	2160
K	Lesina	chr5	350001	400000	0.4024752475247525	262	9756	24240	1960
K	Lesina	chr5	400001	450000	0.4067258883248731	174	6410	15760	1640
8N	Lesina	chr5	400001	450000	0.5863961813842482	174	9828	16760	640
8N	K	chr5	400001	450000	0.3387179487179487	174	5284	15600	1800
8N	Lesina	chr5	450001	500000	0.4526850507982583	144	6238	13780	620
8N	K	chr5	450001	500000	0.2753445635528331	144	3596	13060	1340
K	Lesina	chr5	450001	500000	0.3734756097560975	144	4900	13120	1280
8N	K	chr5	500001	550000	0.3039629005059022	260	7210	23720	2280
8N	Lesina	chr5	500001	550000	0.5752845528455285	260	14152	24600	1400
K	Lesina	chr5	500001	550000	0.4552100840336134	260	10834	23800	2200
8N	K	chr5	550001	600000	0.3282514450867052	305	9086	27680	2820
8N	Lesina	chr5	550001	600000	0.6585548738922972	305	19322	29340	1160
K	Lesina	chr5	550001	600000	0.448300283286119	305	12660	28240	2260
8N	K	chr5	600001	650000	0.3376181474480151	351	10716	31740	3360
8N	Lesina	chr5	600001	650000	0.5880377136122569	351	19958	33940	1160
K	Lesina	chr5	600001	650000	0.4060112711333751	351	12968	31940	3160
8N	Lesina	chr5	650001	700000	0.5842724458204335	337	18872	32300	1400
K	Lesina	chr5	650001	700000	0.4067096774193548	337	12608	31000	2700
8N	K	chr5	650001	700000	0.3256561679790026	337	9926	30480	3220
8N	K	chr5	700001	750000	0.345029624753127	335	10482	30380	3120
8N	Lesina	chr5	700001	750000	0.5657551274083281	335	18206	32180	1320
K	Lesina	chr5	700001	750000	0.3461980830670926	335	10836	31300	2200
8N	K	chr5	750001	800000	0.4153005464480874	439	16720	40260	3640
8N	Lesina	chr5	750001	800000	0.4875647668393782	439	20702	42460	1440
K	Lesina	chr5	750001	800000	0.228655834564254	439	9288	40620	3280
K	Lesina	chr5	800001	850000	0.0935499753815854	437	3800	40620	3080
8N	K	chr5	800001	850000	0.3981619473422752	437	16030	40260	3440
8N	Lesina	chr5	800001	850000	0.3924510272336359	437	16428	41860	1840
8N	K	chr5	850001	900000	0.482112605879422	433	19352	40140	3160
8N	Lesina	chr5	850001	900000	0.495581171950048	433	20636	41640	1660
K	Lesina	chr5	850001	900000	0.1187745098039215	433	4846	40800	2500
K	Lesina	chr5	900001	950000	0.1463094587206123	392	5352	36580	2620
8N	Lesina	chr5	900001	950000	0.4375867592098238	392	16392	37460	1740
8N	K	chr5	900001	950000	0.4048672566371681	392	14640	36160	3040
8N	K	chr5	950001	1000000	0.3635497049477985	481	16018	44060	4040
K	Lesina	chr5	950001	1000000	0.1417597141581063	481	6348	44780	3320
8N	Lesina	chr5	950001	1000000	0.3971083297367285	481	18402	46340	1760
8N	K	chr5	1000001	1050000	0.4207100591715976	260	9954	23660	2340
8N	Lesina	chr5	1000001	1050000	0.4655312246553122	260	11480	24660	1340
K	Lesina	chr5	1000001	1050000	0.176865671641791	260	4266	24120	1880
8N	Lesina	chr5	1050001	1100000	0.3961494252873563	361	13786	34800	1300
K	Lesina	chr5	1050001	1100000	0.1573897497020262	361	5282	33560	2540
8N	K	chr5	1050001	1100000	0.3687462144155057	361	12176	33020	3080
